STATION NAME                     ,WMO_ID, CN ,TYPE,LAT,LON,ELVATION
PETERSBURG AUTOMATIC WEATHER OBS ,, US ,SA,37.18333 ,-77.51667 ,59 
PONTIAC OAKLAND COUNTY INTERNATI ,, US ,SA,42.66306 ,-83.41000 ,299 
              PATTERSON MEMORIAL ,, US ,SA,29.71667 ,-91.33333 ,3 
                 PRATT MUNICIPAL ,74543, US ,SA,37.70000 ,-98.75000 ,595 
PORTERVILLE AUTOMATIC WEATHER OB ,, US ,SA,36.03333 ,-119.06667 ,135 
POTTSTOWN POTTSTOWN LIMERICK AIR ,, US ,SA,40.23833 ,-75.55722 ,89 
  PUEBLO PUEBLO MEMORIAL AIRPORT ,72464, US ,SA,38.29000 ,-104.49833 ,1440 
     PRICE CARBON COUNTY AIRPORT ,72470, US ,SA,39.60917 ,-110.75472 ,1805 
                    PUMPKIN VINE ,, US ,SA,41.05000 ,-105.47000 ,2438 
PULLMAN / MOSCOW PULLMAN / MOSCO ,, US ,SA,46.74389 ,-117.11361 ,777 
                   PUEBLO NEXRAD ,, US ,SA,38.46667 ,-104.18333 ,1620 
PROVINCETOWN AUTOMATIC WEATHER O ,, US ,SA,42.06667 ,-70.21667 ,2 
