STATION,ICAO,LAT,LON,ELEV,M,PRIORITY,CD,COUNTRY
HAMILTON/RAVALLI,KHMM,46.25 ,-114.15 ,1110,X,7,MT,US
HARLOWTON,K3HT,46.42 ,-109.82 ,1268,X,7,MT,US
HAVRE,KHVR,48.55 ,-109.77 ,787,X,3,MT,US
HELENA,KHLN,46.60 ,-111.97 ,1182,X,4,MT,US
JORDAN,KJDN,47.33 ,-106.95 ,801,X,7,MT,US
KALISPELL,KFCA,48.30 ,-114.27 ,908,Z,8,MT,US
KALISPELL,KGPI,48.32 ,-114.25 ,908,X,6,MT,US
LAUREL,K6S8,45.70 ,-108.77 ,1072,X,7,MT,US
LEWISTOWN,KLWT,47.03 ,-109.47 ,1270,X,6,MT,US
LIVINGSTON,KLVM,45.70 ,-110.43 ,1418,X,6,MT,US
MALMSTROM AFB,KGFA,47.50 ,-111.17 ,1075,X,7,MT,US
MALTA,KM75,48.37 ,-107.92 ,687,X,8,MT,US
MILES CITY,KMLS,46.43 ,-105.88 ,801,X,4,MT,US
MISSOULA,KMSO,46.92 ,-114.10 ,975,X,3,MT,US
PLAINS,KS34,47.47 ,-114.90 ,752,X,8,MT,US
ROUNDUP,KRPX,46.47 ,-108.55 ,1065,X,8,MT,US
SCOBEY,K9S2,48.80 ,-105.43 ,742,X,8,MT,US
SIDNEY RICHLAND,KSDY,47.70 ,-104.20 ,605,X,6,MT,US
THOMPSON FALLS,K3TH,47.60 ,-115.37 ,725,X,7,MT,US
TWIN BRIDGES,K7S1,45.53 ,-112.30 ,1456,X,8,MT,US
WEST YELLOWSTONE,KWEY,44.63 ,-111.08 ,2031,X,2,MT,US
WOLF POINT,KOLF,48.10 ,-105.58 ,604,X,6,MT,US
WEST YELLOWSTONE,KWYS,44.67 ,-111.12 ,2025,X,8,MT,US
BROADUS,K4BQ,45.43 ,-105.40 ,922,Z,8,MT,US
MONIDA,KMQM,44.57 ,-112.32 ,2068,Z,8,MT,US
AHOSKIE/TRI COUN,KASJ,36.28 ,-77.17 ,21,X,7,NC,US
ALBEMARLE STANLY,KVUJ,35.42 ,-80.15 ,186,X,7,NC,US
ANDREWS,KRHP,35.18 ,-83.85 ,518,X,7,NC,US
WADESBORO/ANSON,KAFP,35.02 ,-80.08 ,92,X,7,NC,US
ASHEBORO MUNI,KHBI,35.65 ,-79.90 ,205,X,7,NC,US
ASHEVILLE,KAVL,35.43 ,-82.53 ,670,X,4,NC,US
BEAUFORT,KMRH,34.73 ,-76.65 ,3,X,7,NC,US
BOGUE/SWANSBORO,KNJM,34.67 ,-77.02 ,7,X,7,NC,US
BOONE WATAUGA CT,KTNB,36.20 ,-81.65 ,911,X,7,NC,US
BURLINGTON,KBUY,36.05 ,-79.47 ,180,X,7,NC,US
CAPE HATTERAS,KHAT,35.27 ,-75.53 ,3,X,8,NC,US
CHAPEL HILL,KIGX,35.93 ,-79.07 ,155,X,7,NC,US
CHARLOTTE,KCLT,35.22 ,-80.95 ,220,X,4,NC,US
CHERRY POINT,KNKT,34.88 ,-76.87 ,9,X,3,NC,US
CLINTON,KCTZ,34.98 ,-78.37 ,45,X,7,NC,US
CONCORD REG ARPT,KJQF,35.38 ,-80.72 ,210,X,7,NC,US
CURRITUCK,KONX,36.40 ,-76.02 ,5,X,7,NC,US
DAVIDSON CTY AP,KEXX,35.78 ,-80.30 ,223,X,7,NC,US
EDENTON,KEDE,36.02 ,-76.57 ,6,X,7,NC,US
ELIZABETH CITY,KECG,36.27 ,-76.18 ,11,X,6,NC,US
ELIZABETHTOWN,KEYF,34.60 ,-78.58 ,41,X,8,NC,US
ERWIN/HARNETT CO,KHRJ,35.38 ,-78.73 ,60,X,7,NC,US
FAYETTEVILLE,KFAY,34.98 ,-78.88 ,55,X,4,NC,US
FORT BRAGG/SIMMO,KFBG,35.12 ,-78.92 ,74,X,6,NC,US
GASTONIA,KAKH,35.20 ,-81.15 ,243,X,7,NC,US
GOLDSBORO/S. J.,KGSB,35.32 ,-77.97 ,33,X,6,NC,US
GOLDSBORO/WAYNE,KGWW,35.47 ,-77.97 ,41,X,8,NC,US
GREENSBORO,KGSO,36.10 ,-79.95 ,275,X,3,NC,US
HATTERAS/MITCHEL,KHSE,35.23 ,-75.62 ,3,X,1,NC,US
HENDERSON/OXFORD,KHNZ,36.37 ,-78.53 ,161,X,8,NC,US
HICKORY,KHKY,35.75 ,-81.38 ,354,X,6,NC,US
HOFFMAN/MACKALL,KHFF,35.02 ,-79.50 ,115,X,7,NC,US
JACKSONVILLE,KOAJ,34.82 ,-77.62 ,29,X,7,NC,US
JEFFERSON,KGEV,36.43 ,-81.42 ,969,X,7,NC,US
KENANSVILLE/DUPL,KDPL,35.00 ,-77.97 ,42,X,7,NC,US
KILL DEVIL HILLS,KFFA,36.02 ,-75.67 ,4,X,7,NC,US
KINSTON/STALLING,KISO,35.32 ,-77.62 ,29,X,7,NC,US
LINCOLNTON,KIPJ,35.48 ,-81.17 ,267,X,7,NC,US
LOUISBURG/FRANKL,KLHZ,36.02 ,-78.33 ,113,X,7,NC,US
LUMBERTON,KLBT,34.60 ,-79.07 ,37,X,7,NC,US
MACON/FRANKLIN,K1A5,35.22 ,-83.42 ,616,X,7,NC,US
MANTEO/DARE CO,KMQI,35.92 ,-75.70 ,4,X,7,NC,US
MAXTON,KMEB,34.78 ,-79.37 ,67,X,7,NC,US
MONROE,KEQY,35.02 ,-80.62 ,212,X,7,NC,US
MORGANTON/LENOIR,KMRN,35.82 ,-81.62 ,387,X,7,NC,US
MOUNT AIRY/SURRY,KMWK,36.47 ,-80.55 ,380,X,7,NC,US
NEW BERN,KEWN,35.07 ,-77.05 ,3,X,6,NC,US
NEW RIVER MCAS,KNCA,34.72 ,-77.45 ,8,X,6,NC,US
PINEY ISLAND,KNBT,35.02 ,-76.47 ,5,X,8,NC,US
PITT GREENVILLE,KPGV,35.62 ,-77.40 ,8,X,7,NC,US
POPE AFB,KPOB,35.17 ,-79.02 ,66,X,6,NC,US
RALEIGH/DURHAM,KRDU,35.87 ,-78.78 ,130,X,2,NC,US
REIDSVILLE,KSIF,36.43 ,-79.85 ,211,X,8,NC,US
ROANOKE RAPIDS,KRZZ,36.43 ,-77.72 ,75,X,7,NC,US
ROCKINGHAM,KRCZ,34.88 ,-79.77 ,109,X,7,NC,US
ROCKY MOUNT,KRWI,35.85 ,-77.90 ,47,X,6,NC,US
ROXBORO PERSON,KTDF,36.28 ,-78.98 ,186,X,7,NC,US
RUTHERFORDTON,KFQD,35.42 ,-81.93 ,329,X,7,NC,US
SALISBURY ROWAN,KRUQ,35.65 ,-80.52 ,236,X,7,NC,US
SANFORD,KTTA,35.58 ,-79.10 ,75,X,7,NC,US
SHELBY MUNI,KEHO,35.25 ,-81.60 ,258,X,7,NC,US
SOUTHERN PINES,KSOP,35.22 ,-79.40 ,141,X,7,NC,US
SMITHFIELD JOHNS,KJNX,35.53 ,-78.38 ,50,X,7,NC,US
STATESVILLE,KSVH,35.75 ,-80.95 ,294,X,7,NC,US
SOUTHPORT,KSUT,33.93 ,-78.08 ,8,X,7,NC,US
WASHINGTON,KOCW,35.57 ,-77.05 ,12,X,7,NC,US
WHITEVILLE,KCPC,34.28 ,-78.72 ,29,X,8,NC,US
WILKESBORO,KUKF,36.22 ,-81.10 ,396,X,7,NC,US
WILMINGTON,KILM,34.27 ,-77.90 ,9,X,0,NC,US
WINSTON SALEM,KINT,36.13 ,-80.22 ,291,X,4,NC,US
ANDREWS,K6A3,35.18 ,-83.85 ,518,Z,8,NC,US
ASHEBORO,KW44,35.65 ,-80.10 ,205,Z,8,NC,US
CURRITUCK,K9W7,36.40 ,-76.02 ,5,Z,8,NC,US
DIAMOND SHORES,K44W,35.15 ,-75.70 ,5,Z,8,NC,US
ERWIN/HARNETT CO,K37W,35.37 ,-78.72 ,60,Z,8,NC,US
HOT SPRINGS,KHSS,35.90 ,-82.82 ,451,Z,8,NC,US
REIDSVILLE,K78N,36.43 ,-79.85 ,211,Z,8,NC,US
ROCKINGHAM,K45J,34.88 ,-79.77 ,109,Z,8,NC,US
STUMPY POINT,K2DP,35.68 ,-75.90 ,3,Z,8,NC,US
WALLACE,KACZ,34.73 ,-78.00 ,30,Z,8,NC,US
BISMARCK,KBIS,46.77 ,-100.75 ,505,X,0,ND,US
BOWMAN MUNI,KBPP,46.18 ,-103.43 ,902,X,8,ND,US
DEVILS LAKE,KDVL,48.12 ,-98.92 ,443,X,7,ND,US
DEVILS LAKE,KP11,48.12 ,-98.92 ,443,X,7,ND,US
DICKINSON,KDIK,46.80 ,-102.80 ,788,X,6,ND,US
FARGO,KFAR,46.93 ,-96.82 ,277,X,1,ND,US
GARRISON,KN60,47.65 ,-101.43 ,582,X,7,ND,US
GRAND FORKS AFB,KRDR,47.97 ,-97.40 ,278,X,6,ND,US
GRAND FORKS,KGFK,47.95 ,-97.18 ,190,X,2,ND,US
HETTINGER,KHEI,46.02 ,-102.65 ,828,X,7,ND,US
JAMESTOWN,KJMS,46.93 ,-98.67 ,455,X,6,ND,US
LIDGERWOOD (RAMO,KP67,46.10 ,-97.15 ,351,X,7,ND,US
MINOT AFB,KMIB,48.42 ,-101.33 ,508,X,6,ND,US
MINOT,KMOT,48.25 ,-101.27 ,519,X,6,ND,US
WILLISTON,KISN,48.17 ,-103.63 ,579,X,6,ND,US
WAHPETON,KBWP,46.25 ,-96.62 ,295,X,8,ND,US
AINSWORTH MUNICI,KANW,42.57 ,-100.00 ,789,X,6,NE,US
ALBION MUNI,KBVN,41.73 ,-98.05 ,551,X,8,NE,US
ALLIANCE,KAIA,42.05 ,-102.80 ,1196,X,7,NE,US
AURORA,KAUH,40.88 ,-98.00 ,550,X,7,NE,US
BEATRICE MUNICIP,KBIE,40.28 ,-96.75 ,403,X,7,NE,US
BLAIR MUNI,KBTA,41.42 ,-96.12 ,396,X,8,NE,US
BROKEN BOW MUNI,KBBW,41.42 ,-99.65 ,776,X,7,NE,US
CHADRON,KCDR,42.83 ,-103.10 ,1010,X,6,NE,US
COLUMBUS MUNI,KOLU,41.45 ,-97.32 ,440,X,7,NE,US
FALLS CITY/BRENN,KFNB,40.07 ,-95.58 ,300,X,7,NE,US
FREMONT MUNI ARP,KFET,41.45 ,-96.52 ,367,X,7,NE,US
GRAND ISLAND,KGRI,40.97 ,-98.32 ,561,X,6,NE,US
HASTINGS,KHSI,40.60 ,-98.43 ,591,X,7,NE,US
HEBRON MUNI,KHJH,40.15 ,-97.58 ,447,X,7,NE,US
HOLDREGE/BREWSTR,KHDE,40.45 ,-99.32 ,705,X,7,NE,US
IMPERIAL MUNICIP,KIML,40.52 ,-101.62 ,998,X,7,NE,US
KEARNEY MUNI,KEAR,40.72 ,-99.00 ,649,X,7,NE,US
KIMBALL MUNI,KIBM,41.18 ,-103.68 ,1501,X,7,NE,US
LEXINGTON,KLXN,40.78 ,-99.77 ,734,X,7,NE,US
LINCOLN,KLNK,40.83 ,-96.77 ,364,X,3,NE,US
MCCOOK,KMCK,40.20 ,-100.58 ,782,X,6,NE,US
NEBRASKA CITY,KAFK,40.60 ,-95.85 ,354,X,8,NE,US
NORFOLK,KOFK,41.98 ,-97.43 ,470,X,6,NE,US
NORTH OMAHA,KOVN,41.37 ,-96.02 ,406,X,8,NE,US
NORTH PLATTE,KLBF,41.12 ,-100.67 ,847,X,3,NE,US
O'NEILL,KONL,42.47 ,-98.67 ,619,X,6,NE,US
OFFUTT AFB/BELLE,KOFF,41.12 ,-95.92 ,319,X,4,NE,US
OGALLALA,KOGA,41.12 ,-101.77 ,999,X,7,NE,US
OMAHA/EPPLEY,KOMA,41.32 ,-95.90 ,312,X,2,NE,US
OMAHA/MILLARD,KMLE,41.20 ,-96.12 ,320,X,7,NE,US
ORD/SHARP FIELD,KODX,41.62 ,-98.95 ,631,X,7,NE,US
PLATTSMOUTH MUNI,KPMV,40.95 ,-95.92 ,367,X,8,NE,US
SCOTTSBLUFF,KBFF,41.87 ,-103.58 ,1203,X,6,NE,US
SIDNEY,KSNY,41.10 ,-102.98 ,1307,X,6,NE,US
TEKAMAH,KTQE,41.77 ,-96.18 ,312,X,7,NE,US
THEDFORD/THOMAS,KTIF,41.97 ,-100.57 ,892,X,7,NE,US
VALENTINE,KVTN,42.87 ,-100.55 ,788,X,1,NE,US
WAYNE MUNI,KLCG,42.25 ,-96.98 ,436,X,7,NE,US
YORK,KJYR,40.90 ,-97.62 ,509,X,7,NE,US
BENKELMAN-JONES,K42V,40.05 ,-101.53 ,953,X,9,NE,US
BLAIR MUNI,KK46,41.42 ,-96.12 ,396,Z,8,NE,US
BURWELL,KBUB,41.78 ,-99.15 ,664,Z,8,NE,US
COZAD,KCZD,40.87 ,-100.00 ,800,Z,8,NE,US
MULLEN,KMHN,42.05 ,-101.07 ,994,Z,8,NE,US
CHAMPION,KCHM,40.38 ,-101.72 ,1029,X,9,NE,US
BERLIN,KBML,44.58 ,-71.18 ,345,X,7,NH,US
CONCORD,KCON,43.20 ,-71.50 ,103,X,6,NH,US
JAFFREY,KAFN,42.80 ,-72.00 ,313,X,7,NH,US
KEENE/DILLANT,KEEN,42.88 ,-72.27 ,149,X,7,NH,US
LACONIA MUNI,KLCI,43.57 ,-71.42 ,166,X,7,NH,US
LEBANON,KLEB,43.63 ,-72.30 ,171,X,6,NH,US
MANCHESTER,KMHT,42.93 ,-71.43 ,81,X,6,NH,US
MOUNT WASHINGTON,KMWN,44.27 ,-71.28 ,1910,X,7,NH,US
NASHUA/BOIRE FLD,KASH,42.78 ,-71.52 ,61,X,7,NH,US
PLYMOUTH,K1P1,43.78 ,-71.75 ,154,X,7,NH,US
PORTSMOUTH/PEASE,KPSM,43.07 ,-70.82 ,31,X,6,NH,US
ROCHESTER,KDAW,43.28 ,-70.92 ,100,X,7,NH,US
WHITEFIELD,KHIE,44.37 ,-71.55 ,318,X,7,NH,US
DIAMOND LAKE,K8B2,44.95 ,-71.32 ,678,Z,8,NH,US
NORTH CONWAY,KCWN,44.02 ,-71.17 ,151,Z,8,NH,US
NORTH GROTON,KNGR,43.77 ,-71.87 ,390,Z,8,NH,US
ROCHESTER,K6B1,43.28 ,-70.92 ,100,Z,8,NH,US
TAMWORTH,KTMW,43.90 ,-71.30 ,241,Z,8,NH,US
ANDOVER,K12N,41.02 ,-74.73 ,177,X,7,NJ,US
ATLANTIC CITY,KACY,39.47 ,-74.58 ,23,X,4,NJ,US
BELMAR/FARMDALE,KBLM,40.17 ,-74.12 ,48,X,7,NJ,US
CALDWELL,KCDW,40.88 ,-74.28 ,64,X,7,NJ,US
LAKEHURST NAS,KNEL,40.02 ,-74.33 ,31,X,7,NJ,US
LINDEN,KLDJ,40.62 ,-74.25 ,7,X,8,NJ,US
MILLVILLE,KMIV,39.37 ,-75.08 ,23,X,6,NJ,US
MORRISTOWN MUNI,KMMU,40.78 ,-74.42 ,57,X,7,NJ,US
MOUNT HOLLY,KVAY,39.93 ,-74.83 ,15,X,7,NJ,US
NEWARK,KEWR,40.68 ,-74.17 ,7,X,2,NJ,US
SOMERVILLE,KSMQ,40.62 ,-74.67 ,30,X,7,NJ,US
SUSSEX,KFWN,41.20 ,-74.63 ,133,X,7,NJ,US
TETERBORO,KTEB,40.87 ,-74.05 ,7,X,6,NJ,US
TOMS RIVER,KMJX,39.93 ,-74.30 ,25,X,8,NJ,US
TRENTON,KTTN,40.28 ,-74.82 ,59,X,7,NJ,US
WILDWOOD,KWWD,39.02 ,-74.92 ,7,X,7,NJ,US
WOODBINE MUNI,KOBI,39.22 ,-74.80 ,13,X,8,NJ,US
WRIGHTST/MCGUIRE,KWRI,40.02 ,-74.58 ,41,X,6,NJ,US
NEW BRUNSWICK,KNBK,40.48 ,-74.43 ,5,Z,8,NJ,US
SANDY HOOK CGS,K56N,40.47 ,-74.02 ,5,Z,8,NJ,US
SOMERVILLE,KN52,40.62 ,-74.67 ,30,Z,8,NJ,US
SUSSEX,KN63,41.20 ,-74.60 ,119,Z,8,NJ,US
SOMERVILLE,KSJB,40.62 ,-74.67 ,30,Z,8,NJ,US
GALLUP,KGUP,35.52 ,-108.80 ,1971,X,6,NM,US
ALAMOGORDO WHITE,KALM,32.82 ,-105.97 ,1279,X,6,NM,US
ALBUQUERQUE,KABQ,35.05 ,-106.62 ,1618,X,0,NM,US
ANGEL FIRE,KAXX,36.42 ,-105.28 ,2548,X,8,NM,US
ARTESIA,KATS,32.85 ,-104.47 ,1081,X,7,NM,US
CANNON AFB/CLOVI,KCVS,34.37 ,-103.32 ,1309,X,4,NM,US
CARLSBAD,KCNM,32.33 ,-104.25 ,985,X,6,NM,US
CHAMA (AWRS),KE33,36.88 ,-106.57 ,2393,X,7,NM,US
CLAYTON,KCAO,36.45 ,-103.15 ,1514,X,7,NM,US
CLINES CORNER,KCQC,35.00 ,-105.67 ,2160,X,7,NM,US
CLOVIS MUNI,KCVN,34.42 ,-103.07 ,1284,X,7,NM,US
CORONA/LINCOLN,K4CR,34.10 ,-105.67 ,1981,X,7,NM,US
DEMING,KDMN,32.27 ,-107.72 ,1311,X,6,NM,US
DOUBLE EAGLE II,KAEG,35.13 ,-106.80 ,1779,X,7,NM,US
FARMINGTON,KFMN,36.75 ,-108.23 ,1685,X,6,NM,US
GRANTS,KGNT,35.17 ,-107.90 ,1987,X,7,NM,US
HOBBS/LEA CO.,KHOB,32.67 ,-103.22 ,1115,X,6,NM,US
HOLLOMAN AFB,KHMN,32.85 ,-106.08 ,1248,X,4,NM,US
LAS CRUCES INTL,KLRU,32.27 ,-106.92 ,1358,X,7,NM,US
LAS VEGAS,KLVS,35.65 ,-105.13 ,2091,X,3,NM,US
LOS ALAMOS,KLAM,35.87 ,-106.27 ,2179,X,4,NM,US
MORIARTY,K4MY,34.97 ,-106.03 ,1890,X,7,NM,US
RATON,KRTN,36.73 ,-104.50 ,1936,X,7,NM,US
ROSWELL,KROW,33.30 ,-104.50 ,1112,X,4,NM,US
SIERRA B/RUIDOSO,KSRR,33.47 ,-105.52 ,2076,X,7,NM,US
SANTA FE,KSAF,35.62 ,-106.10 ,1930,X,1,NM,US
SANTA TERESA,K5T6,31.88 ,-106.70 ,1253,X,8,NM,US
SILVER CITY,KSVC,32.63 ,-108.15 ,1659,X,8,NM,US
TAOS MUNI APT,KSKX,36.45 ,-105.67 ,2161,X,7,NM,US
TORREON/CUBA,K4SL,35.78 ,-107.17 ,2106,X,7,NM,US
TRUTH OR CONSEQ.,KTCS,33.23 ,-107.27 ,1469,X,6,NM,US
TUCUMCARI,KTCC,35.18 ,-103.60 ,1235,X,6,NM,US
WHITE SANDS TEST,K2C2,32.37 ,-106.47 ,1244,X,3,NM,US
CLINES CORNER,KP70,34.92 ,-105.57 ,2109,Z,8,NM,US
WHITE SANDS,KE28,32.93 ,-106.42 ,1192,Z,8,NM,US
SOCORRO,KONM,34.02 ,-106.90 ,1410,Z,8,NM,US
TAOS(AWRS),KE23,36.42 ,-105.57 ,2123,Z,8,NM,US
ZUNI PUEBLO,KZUN,35.08 ,-108.78 ,1972,Z,8,NM,US
AUSTIN,KU31,39.50 ,-117.07 ,2014,X,7,NV,US
BATTLE MOUNTAIN,KB23,40.60 ,-116.87 ,1381,X,7,NV,US
BATTLE MTN (VOR),KBAM,40.57 ,-116.92 ,1381,Z,8,NV,US
DESERT R/MERCURY,KDRA,36.62 ,-116.03 ,1006,X,5,NV,US
ELKO,KEKO,40.83 ,-115.78 ,1547,X,3,NV,US
ELY,KELY,39.30 ,-114.85 ,1906,X,3,NV,US
EUREKA,KP68,39.60 ,-116.00 ,1809,X,7,NV,US
FALLON NAS,KNFL,39.42 ,-118.70 ,1199,X,6,NV,US
INDIAN SPRINGS,KINS,36.58 ,-115.67 ,955,X,8,NV,US
IND SPRNG RANGE,KL63,36.52 ,-115.57 ,972,X,7,NV,US
LAS VEGAS,KLAS,36.08 ,-115.15 ,636,X,2,NV,US
LAS VEGAS/NELLIS,KLSV,36.22 ,-115.02 ,570,X,6,NV,US
VEGAS/HENDERSON,KHND,35.98 ,-115.13 ,749,X,6,NV,US
LOVELOCK,KLOL,40.07 ,-118.57 ,1189,X,6,NV,US
NORTH LAS VEGAS,KVGT,36.20 ,-115.20 ,671,X,6,NV,US
RENO,KRNO,39.48 ,-119.77 ,1342,X,2,NV,US
TONOPAH,KTPH,38.05 ,-117.08 ,1652,X,0,NV,US
TONOPAH RANGE74,KBJN,37.62 ,-116.75 ,1756,X,8,NV,US
WELLS,K9BB,41.10 ,-114.97 ,1723,X,7,NV,US
WILDHORSE RES/EL,KAWH,41.67 ,-115.77 ,1902,X,7,NV,US
WINNEMUCCA,KWMC,40.90 ,-117.80 ,1310,X,3,NV,US
CALIENTE,KP38,37.62 ,-114.53 ,1333,Z,8,NV,US
HAWTHORNE,KHTH,38.55 ,-118.63 ,1285,Z,8,NV,US
INDIAN SPRINGS,KL76,36.53 ,-115.57 ,1153,Z,8,NV,US
JACKPOT,K06U,41.98 ,-114.65 ,1589,Z,8,NV,US
OWYHEE,KOWY,41.95 ,-116.10 ,1645,Z,8,NV,US
TONOPAH MILITARY,KTNX,37.78 ,-116.77 ,1691,Z,8,NV,US
ALBANY,KALB,42.75 ,-73.80 ,92,X,3,NY,US
BINGHAMTON,KBGM,42.22 ,-75.98 ,490,X,3,NY,US
BUFFALO/CHEEKTOW,KBUF,42.93 ,-78.73 ,211,X,0,NY,US
DANSVILLE,KDSV,42.57 ,-77.72 ,198,X,7,NY,US
DUNKIRK,KDKK,42.50 ,-79.28 ,202,X,7,NY,US
EAST HAMPTON,KHTO,40.95 ,-72.25 ,17,X,6,NY,US
ELMIRA,KELM,42.15 ,-76.90 ,302,X,6,NY,US
FARMINGDALE,KFRG,40.73 ,-73.42 ,21,X,7,NY,US
FORT DRUM/WHEELE,KGTB,44.03 ,-75.72 ,207,X,6,NY,US
FULTON,KFZY,43.35 ,-76.38 ,138,X,7,NY,US
GLENS FALLS,KGFL,43.33 ,-73.62 ,103,X,6,NY,US
HUDSON/COLUMBIA,K1B1,42.28 ,-73.72 ,60,X,9,NY,US
ISLIP,KISP,40.80 ,-73.10 ,43,X,4,NY,US
ITHACA/TOMPKINS,KITH,42.47 ,-76.45 ,335,X,6,NY,US
JAMESTOWN,KJHW,42.13 ,-79.27 ,525,X,6,NY,US
MASSENA,KMSS,44.93 ,-74.85 ,66,X,6,NY,US
MONTAUK,KMTP,41.07 ,-71.92 ,2,X,7,NY,US
MONTGOMERY,KMGJ,41.52 ,-74.27 ,108,X,7,NY,US
MONTICELLO,KMSV,41.70 ,-74.78 ,428,X,7,NY,US
NEWBURGH/STEWART,KSWF,41.50 ,-74.08 ,150,X,6,NY,US
NIAGARA FALLS,KIAG,43.12 ,-78.93 ,182,X,4,NY,US
NYC/JFK ARPT,KJFK,40.63 ,-73.77 ,9,X,1,NY,US
NYC/LA GUARDIA,KLGA,40.78 ,-73.88 ,11,X,1,NY,US
NYC/CENTRAL PARK,KNYC,40.78 ,-73.97 ,11,X,7,NY,US
OGDENSBURG INTL,KOGS,44.67 ,-75.47 ,91,X,7,NY,US
PENN YAN,KPEO,42.65 ,-77.05 ,256,X,7,NY,US
PLATTSBURGH,KPLB,44.68 ,-73.53 ,106,X,6,NY,US
PLATTSBURGH AFB,KPBG,44.65 ,-73.47 ,72,X,8,NY,US
POUGHKEEPSIE,KPOU,41.63 ,-73.88 ,46,X,4,NY,US
ROCHESTER,KROC,43.12 ,-77.68 ,178,X,6,NY,US
ROME/GRIFFISS AF,KRME,43.22 ,-75.40 ,154,X,7,NY,US
SARANAC LAKE,KSLK,44.40 ,-74.20 ,498,X,6,NY,US
SCHENECTADY AIRP,KSCH,42.85 ,-73.92 ,115,X,7,NY,US
SHIRLEY,KHWV,40.82 ,-72.87 ,21,X,7,NY,US
SYRACUSE,KSYR,43.12 ,-76.10 ,127,X,3,NY,US
UTICA,KUCA,43.15 ,-75.38 ,228,X,4,NY,US
WATERTOWN,KART,43.98 ,-76.03 ,100,X,6,NY,US
WELLSVILLE,KELZ,42.10 ,-77.98 ,646,X,7,NY,US
WESTHAMPTON BEAC,KFOK,40.85 ,-72.62 ,33,X,7,NY,US
WHITE PLAINS,KHPN,41.07 ,-73.70 ,121,X,6,NY,US
AMBROSE,KN28,40.45 ,-73.18 ,26,Z,8,NY,US
BOONVILLE,K1B8,43.45 ,-75.35 ,482,Z,8,NY,US
COLDEN,KCOL,42.67 ,-78.68 ,312,Z,8,NY,US
COOPERSTOWN,KCOO,42.70 ,-74.92 ,378,Z,8,NY,US
ELLENBURG DEPOT,KELB,44.90 ,-73.80 ,262,Z,8,NY,US
MALONE,KMAL,44.85 ,-74.30 ,268,Z,8,NY,US
OLEAN,KOLE,42.23 ,-78.37 ,651,Z,8,NY,US
ONEONTA,KOZX,42.38 ,-75.15 ,351,Z,8,NY,US
FULTON/OSWEGO CT,KN00,43.35 ,-76.38 ,145,Z,8,NY,US
PISECO LAKE,KPIC,43.45 ,-74.53 ,527,Z,8,NY,US
SLIDE MOUNTAIN,KSLD,41.97 ,-74.35 ,610,Z,8,NY,US
STORMVILLE,KSTM,41.53 ,-73.73 ,279,Z,8,NY,US
WARSAW,KWRS,42.68 ,-78.20 ,555,Z,8,NY,US
AKRON (FULTON),KAKR,41.03 ,-81.47 ,363,X,7,OH,US
AKRON,KCAK,40.92 ,-81.45 ,377,X,6,OH,US
ASHTABULA,KHZY,41.78 ,-80.70 ,276,X,7,OH,US
ATHENS,KUNI,39.22 ,-82.23 ,193,X,8,OH,US
CINCINNAT/LUNKEN,KLUK,39.10 ,-84.42 ,155,X,1,OH,US
CLEVELAND,KBKL,41.53 ,-81.67 ,184,X,7,OH,US
CLEVELAND,KCLE,41.42 ,-81.85 ,233,X,3,OH,US
CLEVLND/CUYAHOGA,KCGF,41.57 ,-81.47 ,268,X,7,OH,US
COLUMBUS,KCMH,40.00 ,-82.88 ,247,X,4,OH,US
COLUMBUS/ST UNIV,KOSU,40.08 ,-83.08 ,280,X,7,OH,US
COLUMBUS/BOLTON,KTZR,39.90 ,-83.13 ,276,X,8,OH,US
DAYTON,KDAY,39.90 ,-84.22 ,305,X,4,OH,US
DAYTON,KMGY,39.60 ,-84.23 ,289,X,7,OH,US
DEFIANCE,KDFI,41.33 ,-84.43 ,219,X,7,OH,US
FINDLAY,KFDY,41.02 ,-83.67 ,247,X,6,OH,US
HAMILTON,KHAO,39.37 ,-84.52 ,188,X,7,OH,US
LANCASTER,KLHQ,39.75 ,-82.67 ,260,X,7,OH,US
LIMA,KAOH,40.70 ,-84.02 ,296,X,7,OH,US
LORAIN/ELYRIA,KLPR,41.35 ,-82.18 ,241,X,7,OH,US
MANSFIELD,KMFD,40.82 ,-82.52 ,395,X,6,OH,US
MARION,KMNN,40.62 ,-83.07 ,301,X,7,OH,US
MARYSVILLE,KMRT,40.22 ,-83.35 ,312,X,8,OH,US
MIDDLETOWN/HOOK,KMWO,39.53 ,-84.40 ,198,X,8,OH,US
MT VERNON/KNOX,K4I3,40.33 ,-82.53 ,363,X,8,OH,US
NEW PHILADELPHIA,KPHD,40.47 ,-81.42 ,272,X,7,OH,US
NEWARK,KVTA,40.02 ,-82.47 ,268,X,7,OH,US
RAVENA/PORTAGE,KPOV,41.22 ,-81.25 ,365,X,7,OH,US
RICKENBACKER ANG,KLCK,39.82 ,-82.92 ,227,X,7,OH,US
SPRINGFIELD MUNI,KSGH,39.83 ,-83.83 ,321,X,7,OH,US
TOLEDO,KTDZ,41.57 ,-83.48 ,189,X,7,OH,US
TOLEDO,KTOL,41.58 ,-83.80 ,210,X,6,OH,US
WILLOUGHBY,KLNN,41.67 ,-81.37 ,191,X,7,OH,US
WILMINGTON,KILN,39.43 ,-83.80 ,322,X,3,OH,US
