StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
GANNET CAY,94379,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-21.97 ,152.47 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6099,0,8,2
GLADSTONE RADAR,94380,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.85 ,151.25 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6100,0,75,74
GLADSTONE AIRPORT,94381,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.87 ,151.22 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6101,0,16,19
SEVENTEEN SEVENTY,94384,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.15 ,151.88 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6102,0,47,41
HERON ISLAND RES STN,94386,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.43 ,151.90 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6103,0,5,3
BUNDABERG AERO,94387,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.90 ,152.32 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6104,0,32,32
LADY ELLIOT ISLAND,94388,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.10 ,152.70 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6105,0,4,3
SANDY CAPE LIGHTHOUSE,94390,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.72 ,153.20 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6106,0,100,99
FREDERICK REEF,94393,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-20.93 ,154.40 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6107,0,12,4
CATO ISLAND,94394,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.25 ,155.53 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,6108,0,7,6
CLERMONT AIRPORT,94395,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-22.77 ,147.62 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,14538,0,270,271
ROLLESTON AIRPORT,94396,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-24.45 ,148.62 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,14628,0,220,223
LOCHINGTON,94399,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-23.93 ,147.52 ,AUSTRALIA / AUSTRALIE (LAT 20~S - 25~S),5270,15031,0,267,267
